,,,,cm,,,,,,,,,,,,,
ID,Name,,height,canopy,diam,,,,,,,,,,,,
PP-1-LOWELEV-DIST,WOND,,472.4,548.6,21.6,,,,,,,,,,,,
PP-2-LOWELEV-DIST,WOND,,152.4,167.6,19.4,,,,,,,,,,,,
PP-3-LOWELEV-DIST,WOND,,365.8,365.8,20.3,,,,,,,,,,,,
PP-4-LOWELEV-DIST,WOND,,365.8,609.6,20.3,,,,,,,,,,,,
PP-5-LOWELEV-DIST,WOND,,487.7,557.6,20.3,,,,,,,,,,,,
PP-6-LOWELEV-DIST,WOND,,762,731.5,21.6,,,,,,,,,,,,
PP-7-LOWELEV-DIST,WOND,,198.1,97.5,16.4,,,,,,,,,,,,
PP-8-LOWELEV-DIST,WOND,,365.8,365.8,20.3,,,,,,,,,,,,
PP-9-LOWELEV-DIST,WOND,,243.8,152.4,25.4,,,,,,,,,,,,
PP-10-LOWELEV-DIST,WOND,,518.2,426.7,27.9,,,,,,,,,,,,
PP-11-LOWELEV-DIST,WOND,,280.4,256,18.542,,,,,,,,,,,,
PP-12-LOWELEV-DIST,WOND,,435.8,615.6,48.006,,,,,,,,,,,,
PP-13-LOWELEV-DIST,WOND,,478.5,384,30.734,,,,,,,,,,,,
PP-14-LOWELEV-DIST,WOND,,524.2,344.4,19.05,,,,,,,,,,,,
PP-15-LOWELEV-DIST,WOND,,591.3,350.5,13.97,,,,,,,,,,,,
PP-1-HIGHELEV-DIST,STSAUV,,411.5,190.5,27.7,,,,,,,,,,,,
PP-2-HIGHELEV-DIST,STSAUV,,426.7,182.9,25.4,,,,,,,,,,,,
PP-3-HIGHELEV-DIST,STSAUV,,792.5,594.4,31,,,,,,,,,,,,
PP-4-HIGHELEV-DIST,STSAUV,,2011.7,182.9,22.6,,,,,,,,,,,,
PP-5-HIGHELEV-DIST,STSAUV,,579.1,396.2,27.9,,,,,,,,,,,,
PP-6-HIGHELEV-DIST,STSAUV,,182.9,182.9,28.2,,,,,,,,,,,,
PP-7-HIGHELEV-DIST,STSAUV,,227.85,175.72,16.002,,,,,,,,,,,,
PP-8-HIGHELEV-DIST,STSAUV,,379.75,244.48,8.89,,,,,,,,,,,,
PP-9-HIGHELEV-DIST,STSAUV,,303.8,183.36,10.16,,,,,,,,,,,,
PP-10-HIGHELEV-DIST,STSAUV,,334.18,213.92,11.43,,,,,,,,,,,,
PP-11-HIGHELEV-DIST,STSAUV,,497.7,448,20.32,,,,,,,,,,,,
PP-12-HIGHELEV-DIST,STSAUV,,559.3,507.4,31.242,,,,,,,,,,,,
PP-13-HIGHELEV-DIST,STSAUV,,603.5,464.8,37.084,,,,,,,,,,,,
PP-14-HIGHELEV-DIST,STSAUV,,499.8,405.3,23.241,,,,,,,,,,,,
PP-15-HIGHELEV-DIST,STSAUV,,490.7,445,26.035,,,,,,,,,,,,
PP-1-LOWELEV-DIST,CADCLIFFS,,335.3,335.3,22.9,,,,,,,,2.54,9,11,11,30.48
PP-2-LOWELEV-DIST,CADCLIFFS,,1005.8,548.6,55.9,,,,,,,,2.54,22,33,18,30.48
PP-3-LOWELEV-DIST,CADCLIFFS,,1066.8,1158.2,50.8,,,,,,,,2.54,20,35,38,30.48
PP-4-LOWELEV-DIST,CADCLIFFS,,515.4,304.8,17.8,,,,,,,,2.54,7,16.91,10,30.48
PP-5-LOWELEV-DIST,CADCLIFFS,,426.7,365.8,20.3,,,,,,,,2.54,8,14,12,30.48
PP-6-LOWELEV-DIST,CADCLIFFS,,365.8,243.8,15.2,,,,,,,,2.54,6,12,8,30.48
PP-7-LOWELEV-DIST,CADCLIFFS,,548.6,548.6,45.7,,,,,,,,2.54,18,18,18,30.48
PP-8-LOWELEV-DIST,CADCLIFFS,,426.7,304.8,25.4,,,,,,,,2.54,10,14,10,30.48
PP-9-LOWELEV-DIST,CADCLIFFS,,487.7,243.8,16.5,,,,,,,,2.54,6.5,16,8,30.48
PP-10-LOWELEV-DIST,CADCLIFFS,,259.1,106.7,6.4,,,,,,,,2.54,2.5,8.5,3.5,30.48
PP-11-LOWELEV-DIST,CADCLIFFS,,721.1,792.4,44.577,,,,,,,,,,,,
PP-12-LOWELEV-DIST,CADCLIFFS,,746.7,745.2,49.276,,,,,,,,,,,,
PP-13-LOWELEV-DIST,CADCLIFFS,,646.1,509,33.782,,,,,,,,,,,,
PP-14-LOWELEV-DIST,CADCLIFFS,,438.3,679.7,30.734,,,,,,,,,,,,
PP-15-LOWELEV-DIST,CADCLIFFS,,685.8,368.8,34.544,,,,,,,,,,,,
PP-1-HIGHELEV-DIST,CAD,,207.3,179.8,8.1,,,,,,,,2.54,3.19,6.8,5.9,30.48
PP-2-HIGHELEV-DIST,CAD,,243.8,192,5.7,,,,,,,,2.54,2.25,8,6.3,30.48
PP-3-HIGHELEV-DIST,CAD,,185.9,152.4,7.6,,,,,,,,2.54,3,6.1,5,30.48
PP-4-HIGHELEV-DIST,CAD,,243.8,219.5,10.8,,,,,,,,2.54,4.25,8,7.2,30.48
PP-5-HIGHELEV-DIST,CAD,,286.5,248.4,11.1,,,,,,,,,,,,
PP-6-HIGHELEV-DIST,CAD,,396.2,259.1,15.2,,,,,,,,2.54,4.38,9.4,8.15,30.48
PP-7-HIGHELEV-DIST,CAD,,274.3,121.9,10.2,,,,,,,,2.54,6,13,8.5,30.48
PP-8-HIGHELEV-DIST,CAD,,213.4,121.9,6.4,,,,,,,,2.54,4,9,4,30.48
PP-9-HIGHELEV-DIST,CAD,,274.3,243.8,18.1,,,,,,,,2.54,2.5,7,4,30.48
PP-10-HIGHELEV-DIST,CAD,,265.4,256.42,16.3,,,,,,,,2.54,7.13,9,8,30.48
PP-11-HIGHELEV-DIST,CAD,,230.7,204.2,10.795,,,,,,,,,,,,
PP-12-HIGHELEV-DIST,CAD,,197.8,237.7,12.954,,,,,,,,,,,,
PP-13-HIGHELEV-DIST,CAD,,194.1,201.1,11.1252,,,,,,,,,,,,
PP-14-HIGHELEV-DIST,CAD,,253.2,240.7,18.415,,,,,,,,,,,,
PP-15-HIGHELEV-DIST,CAD,,220.3,152.4,12.065,,,,,,,,,,,,
